mesh_code,land_ratio,ratio_clas
"40282222",0.000,less_half
"40282227",0.000,less_half
"40282272",0.000,less_half
"40282277",0.000,less_half
"40284322",0.196,less_half
"40284327",0.142,less_half
"40284372",0.264,less_half
"40284377",0.115,less_half
"40287422",0.000,less_half
"40287427",0.000,less_half
"40287472",0.015,less_half
"40287477",0.020,less_half
"40406622",0.000,less_half
"40406627",0.000,less_half
"40406672",0.000,less_half
"40406677",0.000,less_half
"40407622",0.000,less_half
"40407627",0.000,less_half
"40407672",0.000,less_half
"40407677",0.000,less_half
"40406722",0.000,less_half
"40406727",0.000,less_half
"40406772",0.000,less_half
"40406777",0.000,less_half
"40407722",0.000,less_half
"40407727",0.000,less_half
"40407772",0.000,less_half
"40407777",0.000,less_half
"40420022",0.000,less_half
"40420027",0.000,less_half
"40420072",0.000,less_half
"40420077",0.000,less_half
"40420122",0.000,less_half
"40420127",0.000,less_half
"40420172",0.000,less_half
"40420177",0.000,less_half
"40424122",0.000,less_half
"40424127",0.000,less_half
"40424172",0.000,less_half
"40424177",0.000,less_half
"40425122",0.000,less_half
"40425127",0.000,less_half
"40425172",0.000,less_half
"40425177",0.000,less_half
"40426122",0.000,less_half
"40426127",0.000,less_half
"40426172",0.000,less_half
"40426177",0.000,less_half
"40425222",0.000,less_half
"40425227",0.000,less_half
"40425272",0.000,less_half
"40425277",0.000,less_half
"41286122",0.000,less_half
"41286127",0.000,less_half
"41286172",0.000,less_half
"41286177",0.000,less_half
"41280422",0.507,more_half
"41280427",0.805,more_half
"41280472",0.370,less_half
"41280477",0.648,more_half
"41280522",0.062,less_half
"41280527",0.000,less_half
"41280572",0.544,more_half
"41280577",0.000,less_half
"41281522",0.157,less_half
"41281527",0.151,less_half
"41281572",0.000,less_half
"41281577",0.000,less_half
"41283722",0.000,less_half
"41283727",0.000,less_half
"41283772",0.016,less_half
"41283777",0.026,less_half
"41284722",0.335,less_half
"41284727",0.906,more_half
"41284772",0.717,more_half
"41284777",1.000,more_half
"41285722",0.618,more_half
"41285727",1.000,more_half
"41285772",0.811,more_half
"41285777",0.706,more_half
"41286722",0.791,more_half
"41286727",0.470,less_half
"41286772",0.283,less_half
"41286777",0.209,less_half
"41287722",0.000,less_half
"41287727",0.000,less_half
"41287772",0.000,less_half
"41287777",0.000,less_half
"41294022",0.017,less_half
"41294027",0.000,less_half
"41294072",0.340,less_half
"41294077",0.000,less_half
"41295022",0.454,less_half
"41295027",0.000,less_half
"41295072",0.019,less_half
"41295077",0.000,less_half
"41297222",0.000,less_half
"41297227",0.000,less_half
"41297272",0.000,less_half
"41297277",0.000,less_half
"41424022",0.000,less_half
"41424027",0.000,less_half
"41424072",0.000,less_half
"41424077",0.000,less_half
"41421122",0.000,less_half
"41421127",0.000,less_half
"41421172",0.000,less_half
"41421177",0.000,less_half
"41422122",0.000,less_half
"41422127",0.000,less_half
"41422172",0.000,less_half
"41422177",0.000,less_half
"41423122",0.000,less_half
"41423127",0.000,less_half
"41423172",0.000,less_half
"41423177",0.000,less_half
"41424122",0.000,less_half
"41424127",0.000,less_half
"41424172",0.000,less_half
"41424177",0.000,less_half
"42290122",0.185,less_half
"42290127",0.259,less_half
"42290172",0.148,less_half
"42290177",0.077,less_half
"42291122",0.034,less_half
"42291127",0.367,less_half
"42291172",0.008,less_half
"42291177",0.572,more_half
"42292122",0.073,less_half
"42292127",0.317,less_half
"42292172",0.231,less_half
"42292177",0.701,more_half
"42293122",0.199,less_half
"42293127",0.475,less_half
"42293172",0.031,less_half
"42293177",0.322,less_half
"42290222",0.180,less_half
"42290227",0.000,less_half
"42290272",0.140,less_half
"42290277",0.108,less_half
"42291222",0.667,more_half
"42291227",0.365,less_half
"42291272",0.311,less_half
"42291277",0.592,more_half
"42292222",0.552,more_half
"42292227",0.956,more_half
"42292272",0.774,more_half
"42292277",1.000,more_half
"42293222",0.784,more_half
"42293227",1.000,more_half
"42293272",0.840,more_half
"42293277",1.000,more_half
"42294222",0.006,less_half
"42294227",0.596,more_half
"42294272",0.000,less_half
"42294277",0.000,less_half
"42291322",0.020,less_half
"42291327",0.000,less_half
"42291372",0.070,less_half
"42291377",0.000,less_half
"42292322",0.687,more_half
"42292327",0.067,less_half
"42292372",0.919,more_half
"42292377",0.277,less_half
"42293322",1.000,more_half
"42293327",0.265,less_half
"42293372",1.000,more_half
"42293377",0.956,more_half
"42294322",0.892,more_half
"42294327",1.000,more_half
"42294372",0.145,less_half
"42294377",0.596,more_half
"42293422",0.000,less_half
"42293427",0.000,less_half
"42293472",0.474,less_half
"42293477",0.000,less_half
"42294422",0.999,more_half
"42294427",0.262,less_half
"42294472",0.880,more_half
"42294477",0.783,more_half
"42295422",0.609,more_half
"42295427",0.774,more_half
"42295472",0.008,less_half
"42295477",0.233,less_half
"42294522",0.000,less_half
"42294527",0.000,less_half
"42294572",0.267,less_half
"42294577",0.010,less_half
"42295522",0.549,more_half
"42295527",0.418,less_half
"42295572",0.444,less_half
"42295577",0.304,less_half
"42296522",0.220,less_half
"42296527",0.049,less_half
"42296572",0.000,less_half
"42296577",0.000,less_half
"42293722",0.020,less_half
"42293727",0.188,less_half
"42293772",0.267,less_half
"42293777",0.841,more_half
"42294722",0.000,less_half
"42294727",0.258,less_half
"42294772",0.000,less_half
"42294777",0.000,less_half
"42303022",0.000,less_half
"42303027",0.000,less_half
"42303072",0.011,less_half
"42303077",0.000,less_half
"42304022",0.404,less_half
"42304027",0.000,less_half
"42304072",0.015,less_half
"42304077",0.000,less_half
"43281722",0.000,less_half
"43281727",0.000,less_half
"43281772",0.000,less_half
"43281777",0.090,less_half
"43282722",0.000,less_half
"43282727",0.001,less_half
"43282772",0.000,less_half
"43282777",0.000,less_half
"43291022",0.000,less_half
"43291027",0.000,less_half
"43291072",0.019,less_half
"43291077",0.000,less_half
"43292022",0.003,less_half
"43292027",0.000,less_half
"43292072",0.000,less_half
"43292077",0.000,less_half
